time	team	score
3.966666667	UW	3
4.583333333	UW	5
4.583333333	UW	6
4.833333333	MSU	2
5.433333333	UW	9
5.533333333	MSU	3
5.533333333	MSU	4
6.033333333	UW	12
7.116666667	MSU	7
8.5	MSU	9
9.183333333	UW	14
9.6	MSU	10
9.95	MSU	12
10.21666667	UW	17
10.55	UW	20
11.51666667	MSU	14
12.08333333	MSU	16
14.53333333	MSU	19
15	UW	23
15.6	MSU	22
15.6	MSU	23
16.8	UW	26
17.1	MSU	25
18.01666667	UW	27
18.23333333	MSU	27
19.95	UW	29
21.05	MSU	29
21.7	UW	31
21.98333333	MSU	32
22.75	UW	32
23.93333333	MSU	34
23.93333333	MSU	35
24.25	UW	34
25.43333333	UW	35
25.63333333	MSU	37
27.38333333	UW	37
28.11666667	UW	40
29.06666667	MSU	39
29.85	MSU	41
30.95	MSU	43
31.5	UW	41
31.5	UW	42
31.88333333	MSU	44
31.88333333	MSU	45
32.26666667	UW	44
33.03333333	MSU	47
33.68333333	UW	45
37.85	MSU	48
39.71666667	UW	48
39.75	MSU	49
